,id,name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
3,2wvjGSWamFfhDgl2d04qBV,君じゃなきゃダメみたい,54,0.6629999999999999,0.882,7,-3.3819999999999997,1,0.0616,0.0187,0.0,0.131,0.894,130.986
4,7FpoD2ZlcBSj05rEHSZoiB,Who Knew,0,0.6910000000000001,0.7490000000000001,9,-4.567,1,0.0274,0.0055899999999999995,0.0,0.0762,0.473,140.014
5,429NtPmr12aypzFH3FkN9l,Coffee,73,0.532,0.13699999999999998,9,-18.208,1,0.0717,0.982,0.9620000000000001,0.11199999999999999,0.301,118.734
6,0i2nLzZOLedk2jfMcevegp,Fine On The Outside,41,0.51,0.11699999999999999,7,-16.016,1,0.0438,0.995,0.946,0.11,0.336,107.044
7,5uwUgGB3MdhjyAOQoHw7V2,Are You Lost,48,0.405,0.62,8,-13.46,1,0.154,0.208,0.708,0.11,0.22399999999999998,192.38
8,4hJ0xbo5ErSsZgrccu7h2v,Asphyxia - Piano Version,55,0.47,0.151,5,-8.579,1,0.0464,0.875,0.0,0.122,0.36200000000000004,184.016
9,3f3omU8n47Mqyab5nCaGyT,Because of You,71,0.583,0.584,5,-5.362,0,0.031400000000000004,0.254,0.0,0.12300000000000001,0.136,140.039
10,5ygzSNhncw147jFU05utcM,애정결핍,39,0.73,0.39799999999999996,7,-8.327,1,0.0285,0.341,0.0012,0.242,0.37200000000000005,115.94
11,51i5tIeSilbo4UaLKbyAyc,Kohaku,8,0.6459999999999999,0.682,6,-5.731,1,0.0284,0.24100000000000002,0.0,0.08660000000000001,0.544,101.01700000000001
12,19Y03MwqeQ6Bf4vqtebkI8,Kanashimi ni Makenai de,4,0.455,0.7140000000000001,1,-5.601,1,0.027000000000000003,0.25,0.00037400000000000004,0.0848,0.602,179.81900000000002
13,5PzWVmfzu7rePAuFkxPQf0,Repeat Until Death,56,0.233,0.15,1,-11.735999999999999,1,0.033600000000000005,0.982,0.36,0.154,0.08750000000000001,143.887
